NO,ITEM CODE,ITEM NAME,UOM,GROUP,GUD1,GUD2,GUD3,GUD4,GUD5,GUD6,GUD7,DRY,BUTCHER,KIMA3,INVENTORY
2262,FFR02.FFP.107,Pnt Frz Fruit Puree 1Kg - Chesnut,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2263,FFR02.FFP.108,Pnt Frz Fruit Puree 1Kg - Green Apple,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2264,FFR02.FFP.109,Pnt Frz Fruit Puree 1Kg - Guava,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2265,FFR02.FFP.110,Frozen Apricot Puree 1Kg (Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2266,FFR02.FFP.111,Pnt Frz Fruit Puree 1Kg - Mandarin,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2267,FFR02.FFP.112,Pnt Frz Fruit Puree 1Kg - Mango,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2268,FFR02.FFP.113,Pnt Frz Fruit Puree 1Kg - Mor. Cherries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2269,FFR02.FFP.114,Frozen Passion Puree 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2270,FFR02.FFP.115,Pnt Frz Fruit Puree 1Kg - Passion Fruit,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2271,FFR02.FFP.116,Pnt Frz Fruit Puree 1Kg - Pear,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2272,FFR02.FFP.117,Pnt Frz Fruit Puree 1Kg - Raspberries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2273,FFR02.FFP.118,Frozen Strawberry Puree 1 Kg (Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2274,FFR02.FFP.119,Pnt Frz Fruit Puree 1Kg - Strawberry,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2275,FFR02.FFP.120,Pnt Frz Fruit Puree 1Kg - White Peach,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2276,FFR02.FFP.121,Pnt Frz Fruit Puree 1Kg - Yellow Lemon,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2277,FFR02.FFP.122,Frz Blackberries Puree 1 Kg (Ponthier),KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2278,FFR02.FFP.123,Pnt Frz Fruit Puree 1Kg - Blood Orange,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2279,FFR02.FFP.124,Pnt Frz Strawberry Purees - Sugar Free 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2280,FFR02.FFP.126,Pnt Frz Mango Puree - Sugar Free 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2281,FFR02.FFP.127,Pnt Frz Raspberry Puree 1Kg - Sugar Free,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2282,FFR02.FFP.128,Pnt Frz Fruit Puree 1Kg - Mix Red Fruit,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2283,FFR02.FFP.131,Pnt Frz Fruit Puree 1Kg - Fig,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2284,FFR02.FFP.132,Pnt Frz Fruit Puree 1Kg - Lime,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2285,FFR02.FFP.134,Pnt Frz Fruit Puree 1Kg - Lyche,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2286,FFR02.FFP.135,Pnt Frz Fruit Puree 1Kg - Yuzu 100%,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2287,FFR02.FFP.136,Pnt Frz Fruit Puree 1Kg - Calamansi,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2288,FFR02.FFP.301,Pnt Frz Coulis 500Ml - Strawberry,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2289,FFR02.FFP.302,Pnt Frz Coulis 500Ml - Mix Red Fruits,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2290,FFR02.FFP.303,Pnt Frz Coulis 500Ml - Raspberry,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2291,FFR02.FFP.304,Pnt Frz Coulis 500Ml - Apricot,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2292,FFR02.FFP.305,Pnt Frz Coulis 500Ml - Exotic,PCS,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2293,FFR02.FFP.401,Pnt Frz Fruit Puree 10Kg - Blackcurrant,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2294,FFR02.FFP.402,Pnt Frz Fruit Puree 10Kg - Mandarin,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2295,FFR02.FFP.403,Pnt Frz Fruit Puree 10Kg - Mango,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2296,FFR02.FFP.404,Pnt Frz Fruit Puree 10Kg - Passion,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2297,FFR02.FFP.405,Pnt Frz Fruit Puree 10Kg - Raspberry,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2298,FFR02.FFP.406,Pnt Frz Fruit Puree 10Kg - Strawberry,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2299,FFR02.FFP.407,Pnt Frozen Blood Orange Puree - 10Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2300,FFR02.FFP.409,Pnt Frz Fruit Puree 10Kg - Yellow Lemon,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2301,FFR02.FFP.413,Pnt Frz Fruit Puree 10Kg - Mor. Cherries,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2302,FFR02.FFP.414,Pnt Frz Fruit Puree 10Kg - Redcurrant,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
2303,FFR02.FFW.402,Pnt Frz Blackberries Whole 1Kg,KG,VEGETABLES,0,0,0,0,0,0,0,0,0,0,0
